year,sex,sigma
1996,T,0.0423783003395373
1997,T,0.0396813562969476
1998,T,0.0388939381480414
1999,T,0.0377810913479951
2000,T,0.0372020547170909
2001,T,0.0361341594974199
2002,T,0.0341566603287122
2003,T,0.0332265169662068
2004,T,0.0379423032468095
2005,T,0.0379503591810958
2006,T,0.0387811545443524
2007,T,0.0382149952701907
2008,T,0.0365254661847875
2009,T,0.0360552628824028
2010,T,0.0359423944005236
2011,T,0.0342489307520734
2012,T,0.0334424252508655
2013,T,0.0329300968606847
2014,T,0.0337475853657905
2015,T,0.0325141831979263
2016,T,0.0323263633089912
2017,T,0.0326220627897319
2018,T,0.0331209843930223
2019,T,0.0329791098208331
2020,T,0.0362930192234448
2021,T,0.0457199675668658
2022,T,0.0336751702665606
2023,T,0.0310566004250664
1995,T,0.0437915793796842
